Graph summary:
  N (nodes) : 1773
  M (edges) : 90254
  Dangling nodes: 1483

Top 1773 nodes by PageRank:
  node 1036 : 0.0003439812
  node 1037 : 0.0003439812
  node 1038 : 0.0003439812
  node 1537 : 0.0003439812
  node 1538 : 0.0003439812
  node 1539 : 0.0003439812
  node 1045 : 0.0003439812
  node 1552 : 0.0003439812
  node 1046 : 0.0003439812
  node 1501 : 0.0003439812
  node 894 : 0.0003439812
  node 1050 : 0.0003439812
  node 899 : 0.0003439812
  node 1744 : 0.0003439812
  node 915 : 0.0003439812
  node 916 : 0.0003439812
  node 917 : 0.0003439812
  node 1743 : 0.0003439812
  node 930 : 0.0003439812
  node 931 : 0.0003439812
  node 1742 : 0.0003439812
  node 953 : 0.0003439812
  node 954 : 0.0003439812
  node 1682 : 0.0003439812
  node 893 : 0.0003439812
  node 1502 : 0.0003439812
  node 1503 : 0.0003439812
  node 973 : 0.0003439812
  node 974 : 0.0003439812
  node 975 : 0.0003439812
  node 1638 : 0.0003439812
  node 1598 : 0.0003439812
  node 1597 : 0.0003439812
  node 1002 : 0.0003439812
  node 1074 : 0.0003439812
  node 1073 : 0.0003439812
  node 1053 : 0.0003439812
  node 1554 : 0.0003439812
  node 1004 : 0.0003439812
  node 441 : 0.0003439812
  node 521 : 0.0003439812
  node 522 : 0.0003439812
  node 523 : 0.0003439812
  node 524 : 0.0003439812
  node 525 : 0.0003439812
  node 526 : 0.0003439812
  node 527 : 0.0003439812
  node 528 : 0.0003439812
  node 529 : 0.0003439812
  node 530 : 0.0003439812
  node 531 : 0.0003439812
  node 442 : 0.0003439812
  node 563 : 0.0003439812
  node 561 : 0.0003439812
  node 562 : 0.0003439812
  node 564 : 0.0003439812
  node 565 : 0.0003439812
  node 566 : 0.0003439812
  node 567 : 0.0003439812
  node 568 : 0.0003439812
  node 416 : 0.0003439812
  node 414 : 0.0003439812
  node 652 : 0.0003439812
  node 653 : 0.0003439812
  node 1700 : 0.0003439668
  node 836 : 0.0003439668
  node 835 : 0.0003439668
  node 1702 : 0.0003439668
  node 1701 : 0.0003439668
  node 569 : 0.0003439668
  node 570 : 0.0003439668
  node 1056 : 0.0003439668
  node 1055 : 0.0003439668
  node 1054 : 0.0003439668
  node 1049 : 0.0003439668
  node 1048 : 0.0003439668
  node 837 : 0.0003439668
  node 662 : 0.0003439668
  node 663 : 0.0003439668
  node 951 : 0.0003439668
  node 952 : 0.0003439668
  node 1047 : 0.0003439668
  node 956 : 0.0003439668
  node 1044 : 0.0003439668
  node 709 : 0.0003439668
  node 1043 : 0.0003439668
  node 1041 : 0.0003439668
  node 711 : 0.0003439668
  node 876 : 0.0003439668
  node 758 : 0.0003439668
  node 661 : 0.0003439668
  node 1703 : 0.0003439668
  node 940 : 0.0003439668
  node 941 : 0.0003439668
  node 1665 : 0.0003439668
  node 1666 : 0.0003439668
  node 1667 : 0.0003439668
  node 873 : 0.0003439668
  node 874 : 0.0003439668
  node 875 : 0.0003439668
  node 955 : 0.0003439668
  node 854 : 0.0003439668
  node 852 : 0.0003439668
  node 879 : 0.0003439668
  node 880 : 0.0003439668
  node 881 : 0.0003439668
  node 553 : 0.0003439668
  node 551 : 0.0003439668
  node 845 : 0.0003439668
  node 844 : 0.0003439668
  node 882 : 0.0003439668
  node 1731 : 0.0003439668
  node 912 : 0.0003439668
  node 1334 : 0.0003439668
  node 913 : 0.0003439668
  node 382 : 0.0003439668
  node 381 : 0.0003439668
  node 1337 : 0.0003439668
  node 1340 : 0.0003439668
  node 1341 : 0.0003439668
  node 1342 : 0.0003439668
  node 1343 : 0.0003439668
  node 1730 : 0.0003439668
  node 578 : 0.0003439668
  node 1732 : 0.0003439668
  node 1733 : 0.0003439668
  node 380 : 0.0003439668
  node 379 : 0.0003439668
  node 969 : 0.0003439668
  node 970 : 0.0003439668
  node 971 : 0.0003439668
  node 972 : 0.0003439668
  node 665 : 0.0003439668
  node 664 : 0.0003439668
  node 571 : 0.0003439668
  node 755 : 0.0003439668
  node 577 : 0.0003439668
  node 753 : 0.0003439668
  node 907 : 0.0003439668
  node 908 : 0.0003439668
  node 909 : 0.0003439668
  node 910 : 0.0003439668
  node 911 : 0.0003439668
  node 1315 : 0.0003439668
  node 1312 : 0.0003439668
  node 756 : 0.0003439668
  node 1314 : 0.0003439668
  node 1313 : 0.0003439668
  node 905 : 0.0003439524
  node 901 : 0.0003439524
  node 1718 : 0.0003439524
  node 906 : 0.0003439524
  node 902 : 0.0003439524
  node 900 : 0.0003439524
  node 904 : 0.0003439524
  node 903 : 0.0003439524
  node 985 : 0.0003439524
  node 984 : 0.0003439524
  node 983 : 0.0003439524
  node 1071 : 0.0003439524
  node 1668 : 0.0003439524
  node 1669 : 0.0003439524
  node 986 : 0.0003439524
  node 1673 : 0.0003439524
  node 1022 : 0.0003439524
  node 897 : 0.0003439524
  node 896 : 0.0003439524
  node 895 : 0.0003439524
  node 883 : 0.0003439524
  node 884 : 0.0003439524
  node 1670 : 0.0003439524
  node 1671 : 0.0003439524
  node 1672 : 0.0003439524
  node 794 : 0.0003439524
  node 1069 : 0.0003439524
  node 1068 : 0.0003439524
  node 948 : 0.0003439524
  node 949 : 0.0003439524
  node 1099 : 0.0003439524
  node 1599 : 0.0003439524
  node 721 : 0.0003439524
  node 950 : 0.0003439524
  node 1097 : 0.0003439524
  node 586 : 0.0003439524
  node 589 : 0.0003439524
  node 795 : 0.0003439524
  node 1600 : 0.0003439524
  node 793 : 0.0003439524
  node 1072 : 0.0003439524
  node 1719 : 0.0003439524
  node 1021 : 0.0003439524
  node 1005 : 0.0003439524
  node 1006 : 0.0003439524
  node 1007 : 0.0003439524
  node 1008 : 0.0003439524
  node 1759 : 0.0003439524
  node 1760 : 0.0003439524
  node 1761 : 0.0003439524
  node 1098 : 0.0003439524
  node 722 : 0.0003439524
  node 1644 : 0.0003439524
  node 723 : 0.0003439524
  node 947 : 0.0003439524
  node 855 : 0.0003439524
  node 1643 : 0.0003439524
  node 856 : 0.0003439524
  node 1642 : 0.0003439524
  node 1717 : 0.0003439524
  node 1070 : 0.0003439524
  node 701 : 0.0003439524
  node 702 : 0.0003439524
  node 703 : 0.0003439524
  node 987 : 0.0003439524
  node 1641 : 0.0003439524
  node 1640 : 0.0003439524
  node 946 : 0.0003439381
  node 1704 : 0.0003439381
  node 945 : 0.0003439381
  node 1709 : 0.0003439381
  node 944 : 0.0003439381
  node 943 : 0.0003439381
  node 942 : 0.0003439381
  node 980 : 0.0003439381
  node 619 : 0.0003439381
  node 1083 : 0.0003439381
  node 1084 : 0.0003439381
  node 1085 : 0.0003439381
  node 1088 : 0.0003439381
  node 978 : 0.0003439381
  node 979 : 0.0003439381
  node 866 : 0.0003439381
  node 719 : 0.0003439381
  node 1610 : 0.0003439381
  node 1609 : 0.0003439381
  node 720 : 0.0003439381
  node 541 : 0.0003439381
  node 540 : 0.0003439381
  node 539 : 0.0003439381
  node 813 : 0.0003439381
  node 812 : 0.0003439381
  node 811 : 0.0003439381
  node 810 : 0.0003439381
  node 918 : 0.0003439381
  node 718 : 0.0003439381
  node 1010 : 0.0003439381
  node 1009 : 0.0003439381
  node 717 : 0.0003439381
  node 716 : 0.0003439381
  node 712 : 0.0003439381
  node 715 : 0.0003439381
  node 714 : 0.0003439381
  node 616 : 0.0003439381
  node 617 : 0.0003439381
  node 857 : 0.0003439381
  node 919 : 0.0003439381
  node 666 : 0.0003439381
  node 667 : 0.0003439381
  node 668 : 0.0003439381
  node 669 : 0.0003439381
  node 670 : 0.0003439381
  node 671 : 0.0003439381
  node 618 : 0.0003439381
  node 1014 : 0.0003439381
  node 1013 : 0.0003439381
  node 1012 : 0.0003439381
  node 1011 : 0.0003439381
  node 865 : 0.0003439381
